Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists
Larry Nance Jr.,ATL,217,4893,434,1053,249,185,144,59,46,54,131
Steven Adams,HOU,189,4882,478,1081,353,125,192,98,63,23,102
Maxi Kleber,DAL,203,4829,264,673,119,145,56,45,18,57,88
Garrison Mathews,ATL,268,4772,180,435,105,75,73,29,3,27,48
Cam Thomas,BKN,207,4766,405,961,254,151,180,59,15,59,92
Moritz Wagner,ORL,271,4704,355,869,196,159,122,45,29,34,125
John Konchar,MEM,254,4688,377,939,192,185,119,58,15,55,130
Gabe Vincent,LAL,221,4674,485,1178,277,208,166,87,24,80,128
Evan Fournier,DET,181,4656,399,963,234,165,141,62,31,47,118
Trey Lyles,SAC,248,4653,257,628,143,114,91,40,12,37,77
Amir Coffey,LAC,257,4623,306,756,162,144,95,51,16,49,95
Cory Joseph,ORL,229,4615,718,1769,385,333,213,115,57,98,235
Kevin Love,MIA,228,4595,470,1067,343,127,231,98,14,40,87
Bennedict Mathurin,IND,162,4579,278,684,150,128,95,43,12,38,90
Dean Wade,CLE,229,4567,231,572,121,110,79,29,13,29,81
Jevon Carter,CHI,290,4489,464,1131,261,203,131,85,45,55,148
Aaron Holiday,HOU,284,4445,523,1271,298,225,193,70,35,63,162
Marvin Bagley III,WAS,199,4437,176,437,91,85,54,21,16,24,61
Darius Bazley,UTA,176,4406,241,606,117,124,81,24,12,33,91
Quentin Grimes,DAL,190,4382,292,702,174,118,121,39,14,45,73
Landry Shamet,WAS,216,4373,354,835,227,127,130,77,20,41,86
Santi Aldama,MEM,195,4331,337,828,183,154,119,50,14,39,115
Brandon Clarke,MEM,209,4330,286,677,181,105,99,61,21,22,83
Isaiah Joe,OKC,268,4289,277,679,152,125,104,41,7,42,83
Troy Brown Jr.,DET,235,4264,250,602,148,102,94,33,21,27,75
Joe Harris,DET,173,4261,255,618,147,108,95,33,19,47,61
Jalen McDaniels,TOR,232,4249,278,679,155,123,94,44,17,35,88
