Name,TeamAbbreviation,GamesPlayed,Minutes,ShotQualityAvg,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimPctBlocked,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShortMidRangePctBlocked,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGM,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Corner3PctBlocked,Arc3FGM,Arc3FGA,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,Arc3PctBlocked,NonHeaveArc3FGM,NonHeaveArc3FGA,NonHeaveArc3Accuracy,HeaveAttempts,HeaveMakes
Jordan Goodwin,MEM,121,2167,0.5105980298913044,0.6070460704607046,7.584728033472803,25.548846153846153,111,188,0.25474254742547425,0.5904255319148937,0.6607142857142857,0.32432432432432434,0.10638297872340426,77,202,0.27371273712737126,0.3811881188118812,0.4476744186046512,0.18181818181818182,0.1485148514851485,31,88,0.11924119241192412,0.3522727272727273,0.36046511627906974,0.25806451612903225,0.022727272727272728,26,63,0.085365854,0.4126984126984127,0.41935483870967744,0.9230769230769231,0.015873015873015872,54,197,0.2669376693766938,0.27411167512690354,0.27692307692307694,0.8333333333333334,0.010152284,54,196,0.2755102040816326,1,0
Dwight Howard,LAL,129,2166,0.583558349,0.8160919540229885,2.8733059548254625,26.514285714285716,259,391,0.7490421455938697,0.6624040920716112,0.723463687,0.5984555984555985,0.084398977,34,79,0.15134099616858238,0.43037974683544306,0.5230769230769231,0.7647058823529411,0.17721518987341772,6,17,0.032567049808429116,0.35294117647058826,0.35294117647058826,1,0,3,5,0.009578544,0.6,0.6,1,0,10,30,0.057471264,0.3333333333333333,0.3333333333333333,0.8,0,10,29,0.3448275862068966,1,0
Willy Hernangomez,NOP,133,2143,0.5504998689384011,0.7120418848167539,3.380027359781122,25.790909090909096,310,511,0.668848168,0.6066536203522505,0.6724511930585684,0.6709677419354839,0.097847358,90,206,0.2696335078534031,0.4368932038834951,0.4864864864864865,0.7333333333333333,0.10194174757281553,2,14,0.018324607,0.14285714285714285,0.14285714285714285,0.5,0,1,7,0.009162304,0.14285714285714285,0.14285714285714285,1,0,7,26,0.034031413612565446,0.2692307692307692,0.2692307692307692,1,0,7,25,0.28,1,0
Josh Christopher,HOU,138,2120,0.5197979293544458,0.6550060313630881,5.973502722323048,26.156474820143885,175,265,0.31966224366706875,0.660377358,0.7231404958677686,0.44571428571428573,0.086792453,112,244,0.2943305186972256,0.45901639344262296,0.5161290322580645,0.32142857142857145,0.11065573770491803,13,42,0.05066345,0.30952380952380953,0.325,0.23076923076923078,0.047619047619047616,22,70,0.084439083,0.3142857142857143,0.3142857142857143,0.9090909090909091,0,55,208,0.25090470446320867,0.2644230769230769,0.2669902912621359,0.7090909090909091,0.009615385,55,201,0.2736318407960199,7,0
Markieff Morris,DAL,142,2088,0.5106284140969163,0.67251462,9.4459375,25.118956043956043,61,96,0.14035087719298245,0.6354166666666666,0.6931818181818182,0.6065573770491803,0.083333333,56,127,0.18567251461988304,0.4409448818897638,0.448,0.44642857142857145,0.015748031496062992,40,97,0.14181286549707603,0.41237113402061853,0.41237113402061853,0.625,0,46,127,0.18567251461988304,0.36220472440944884,0.36220472440944884,1,0,76,237,0.34649122807017546,0.3206751054852321,0.3206751054852321,0.9736842105263158,0,76,235,0.32340425531914896,2,0
Justise Winslow,POR,103,2058,0.5216911764705883,0.6180451127819548,6.089,25.04181818181818,145,246,0.3699248120300752,0.5894308943089431,0.6561085972850679,0.6137931034482759,0.1016260162601626,68,195,0.2932330827067669,0.3487179487179487,0.37777777777777777,0.5735294117647058,0.076923077,13,59,0.088721805,0.22033898305084745,0.22413793103448276,0.6923076923076923,0.016949153,17,71,0.10676691729323308,0.23943661971830985,0.23943661971830985,1,0,22,94,0.14135338345864662,0.23404255319148937,0.23655913978494625,1,0.010638297872340425,22,92,0.2391304347826087,2,0
Andre Iguodala,GSW,102,2054,0.5464558823529412,0.8880208333333334,5.290756302521008,25.729811320754717,53,76,0.19791666666666666,0.6973684210526315,0.7361111111111112,0.7547169811320755,0.052631579,12,27,0.0703125,0.4444444444444444,0.4444444444444444,0.75,0,5,16,0.041666666666666664,0.3125,0.3125,0.2,0,42,121,0.3151041666666667,0.34710743801652894,0.34710743801652894,1,0,36,144,0.375,0.25,0.25,0.8611111111111112,0,36,136,0.2647058823529412,8,0
Isaiah Livers,DET,94,2051,0.529330306,0.8299595141700404,8.4,25.460755813953487,47,66,0.13360323886639677,0.7121212121212122,0.7704918032786885,0.8085106382978723,0.075757576,13,41,0.082995951,0.3170731707317073,0.37142857142857144,0.46153846153846156,0.14634146341463414,18,43,0.087044534,0.4186046511627907,0.42857142857142855,0.6111111111111112,0.023255813953488372,49,127,0.25708502024291496,0.3858267716535433,0.3888888888888889,1,0.007874016,74,217,0.4392712550607287,0.34101382488479265,0.3490566037735849,0.918918919,0.023041475,74,214,0.34579439252336447,3,0
John Wall,LAC,74,2043,0.5074410461828464,0.6625939849624061,8.125070821529745,26.401396648044695,196,347,0.32612781954887216,0.5648414985590778,0.6302250803858521,0.12755102040816327,0.1037463976945245,60,155,0.14567669172932332,0.3870967741935484,0.46511627906976744,0.05,0.16774193548387098,63,204,0.19172932330827067,0.3088235294117647,0.3181818181818182,0.079365079,0.029411764705882353,10,30,0.028195489,0.3333333333333333,0.35714285714285715,0.7,0.066666667,102,328,0.3082706766917293,0.31097560975609756,0.3128834355828221,0.7843137254901961,0.006097561,102,326,0.3128834355828221,2,0
Amen Thompson,HOU,86,2034,0.5712166666666667,0.725,4.429347826086956,25.325,260,376,0.5875,0.6914893617021277,0.7558139534883721,0.5153846153846153,0.085106383,51,134,0.209375,0.3805970149253731,0.4396551724137931,0.35294117647058826,0.13432835820895522,17,42,0.065625,0.40476190476190477,0.4146341463414634,0.35294117647058826,0.023809523809523808,11,39,0.0609375,0.28205128205128205,0.28205128205128205,0.9090909090909091,0,6,49,0.0765625,0.12244897959183673,0.12244897959183673,1,0,6,48,0.125,1,0
