Name,TeamAbbreviation,GamesPlayed,Minutes,PlusMinus,OnOffRtg,OnDefRtg,FirstChancePoints,ThreePtOffReboundedPct,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,Blocks,Blocked2s,Blocked3s,BlockedAtRim,BlockedShortMidRange,BlockedLongMidRange,BlockedCorner3,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,Steals,LostBallSteals,BadPassSteals,DefensiveGoaltends
Luguentz Dort,OKC,279,8400,-5,113.83744855967078,113.65166295852588,3333,0.20404234841193455,0.4077669902912621,0.28044280442804426,0.16455696202531644,127,120,7,55,57,8,1,6,76,0.5984251968503937,264,115,149,5
Andrew Wiggins,GSW,272,8377,396,114.46461397058823,111.94543161756276,3949,0.17262638717632553,0.3854166666666667,0.3045186640471513,0.16828478964401294,204,188,16,57,117,14,4,12,125,0.6127450980392157,249,93,156,3
Jonas Valanciunas,WAS,319,8336,190,115.4653150232805,114.71057766215337,3579,0.1858108108108108,0.4437367303609342,0.19796954314720813,0.14814814814814814,256,256,0,137,115,4,0,0,174,0.6796875,136,36,100,8
Malik Beasley,DET,301,8332,139,115.5468705097994,114.86020020711081,3546,0.25700280112044815,0.4863013698630137,0.3373015873015873,0.16176470588235295,38,35,3,16,17,2,2,1,20,0.5263157894736842,216,52,164,3
Tyler Herro,MIA,251,8293,372,114.60477996508337,112.6705300012073,4516,0.23568075117370893,0.37142857142857144,0.2903225806451613,0.24522292993630573,46,39,7,19,15,5,4,3,25,0.5434782608695652,177,48,129,6
Mike Conley,MIN,285,8262,1301,118.00791556728232,110.70417444732246,3386,0.24074074074074073,0.42857142857142855,0.35467980295566504,0.2727272727272727,65,60,5,25,29,6,2,3,32,0.49230769230769234,357,162,195,0
Ivica Zubac,LAC,317,8236,276,115.08498155204741,113.6148812409113,2602,0,0.35333333333333333,0.24375,0.16666666666666666,346,339,7,219,116,4,3,4,217,0.6271676300578035,124,24,100,7
Franz Wagner,ORL,256,8204,153,112.27944255039178,111.42429682824657,4260,0.2392807745504841,0.3921971252566735,0.33447098976109213,0.22077922077922077,91,86,5,37,44,5,3,2,51,0.5604395604395604,264,98,166,1
Brandon Ingram,NOP,243,8198,309,116.18858620482291,114.54392095433185,5070,0.24669603524229075,0.4224137931034483,0.2838709677419355,0.24962406015037594,132,126,6,70,52,4,3,3,76,0.5757575757575758,174,49,125,7
John Collins,UTA,278,8176,-156,116.75768728481538,117.70468443863919,3659,0.21294718909710392,0.3782051282051282,0.31662870159453305,0.1487603305785124,271,267,4,161,103,3,1,3,167,0.6162361623616236,173,68,105,24
Deandre Ayton,POR,266,8160,162,114.84639574262215,114.35078343252763,3528,0.19402985074626866,0.4212218649517685,0.19906687402799378,0.13026819923371646,229,224,5,103,116,5,1,4,133,0.5807860262008734,189,43,146,12
Deni Avdija,POR,311,8156,-657,112.58782547086261,115.85809937742277,2828,0.2052877138413686,0.40955631399317405,0.29464285714285715,0.14285714285714285,144,144,0,70,72,2,0,0,74,0.5138888888888888,240,73,167,5
Isaac Okoro,CLE,300,8132,-74,114.01148077279181,113.15516504972848,2232,0.2509727626459144,0.40181268882175225,0.35664335664335667,0.23529411764705882,119,113,6,59,45,9,1,5,54,0.453781513,246,61,185,2
Kevin Durant,PHX,225,8131,1135,119.69353684712617,112.89265065267925,5870,0.2223816355810617,0.3533834586466165,0.27844311377245506,0.21244635193133046,274,245,29,119,120,6,9,20,162,0.5912408759124088,183,62,121,4
Jalen Green,HOU,249,8124,-877,112.44944087556507,118.23561054330285,4532,0.273286467,0.3804347826086957,0.3829787234042553,0.23745819397993312,71,61,10,31,26,4,3,7,45,0.6338028169014085,195,70,125,8
Clint Capela,ATL,300,8121,353,117.86012650674304,115.34756496402451,2578,0,0.44490934449093444,0.36942675159235666,0.125,430,423,7,303,117,3,0,7,280,0.6511627906976745,203,73,130,41
Jerami Grant,POR,240,8119,-918,110.86771844660194,116.56542339934394,4416,0.2222222222222222,0.3604060913705584,0.32662192393736017,0.20512820512820512,218,193,25,124,53,16,5,20,128,0.5871559633027523,196,85,111,12
Tim Hardaway Jr.,DET,284,8115,179,117.01257477719449,116.21075821553148,3738,0.2,0.32515337423312884,0.26436781609195403,0.17164179104477612,35,31,4,18,13,0,0,4,20,0.5714285714285714,166,57,109,0
OG Anunoby,NYK,231,8089,937,117.27613545571876,111.59972938065071,3343,0.25492610837438423,0.41284403669724773,0.35018050541516244,0.20610687022900764,167,140,27,64,60,16,15,12,99,0.592814371,369,111,258,1
Dillon Brooks,HOU,268,8066,705,115.88291746641075,111.60741051621801,3613,0.2537313432835821,0.40066225165562913,0.3418803418803419,0.24358974358974358,67,64,3,39,23,2,1,2,32,0.47761194029850745,257,94,163,2
Kyrie Irving,DAL,223,8020,967,120.93913254768557,115.40851763845733,5465,0.188911704,0.3501683501683502,0.28739495798319326,0.2175226586102719,132,127,5,44,80,3,1,4,79,0.5984848484848485,285,141,144,3
