Name,TeamAbbreviation,GamesPlayed,Minutes,height_in,weight_lbs
Mike Muscala,OKC,194,2783,82,240
Kris Dunn,LAC,131,2764,75,205
George Hill,IND,130,2758,76,188
Tari Eason,HOU,126,2752,80,215
Jeremiah Robinson-Earl,NOP,156,2743,80,240
Victor Wembanyama,SAS,90,2717,87,235
Keyonte George,UTA,97,2717,76,185
Taj Gibson,CHA,178,2717,81,232
Blake Griffin,BOS,143,2714,82,251
Goran Dragic,MIL,129,2704,75,190
Khem Birch,TOR,142,2682,80,233
Chet Holmgren,OKC,92,2677,85,208
Facundo Campazzo,DAL,138,2661,70,195
Derrick Rose,MEM,127,2652,74,200
David Roddy,ATL,149,2640,76,255
Gary Payton II,GSW,170,2636,75,195
Kendrick Nunn,WAS,126,2614,75,190
Stanley Johnson,SAS,139,2569,78,242
Yuta Watanabe,MEM,180,2560,81,215
Luke Kornet,BOS,196,2545,85,250
JaVale McGee,SAC,208,2544,85,270
Jabari Walker,POR,147,2524,79,237
Brandin Podziemski,GSW,96,2510,76,205
Jaime Jaquez Jr.,MIA,93,2499,78,225
Julian Champagnie,SAS,115,2499,79,217
Jock Landale,HOU,193,2486,83,255
Zeke Nnaji,DEN,209,2472,81,240
Kemba Walker,DAL,89,2461,72,184
James Johnson,IND,143,2460,79,240
Toumani Camara,POR,94,2459,79,229
Terence Davis,SAC,155,2451,76,201
Bilal Coulibaly,WAS,84,2441,80,195
Isaiah Jackson,IND,163,2438,81,205
Dalano Banton,POR,171,2399,80,203
Josh Jackson,SAC,113,2390,80,207
Victor Oladipo,MIA,83,2359,75,213
Thomas Bryant,MIA,144,2348,82,248
Alex Len,SAC,195,2334,85,250
Robin Lopez,MIL,160,2329,85,281
Otto Porter Jr.,TOR,114,2329,80,198
Damian Jones,CLE,175,2309,82,245
Nerlens Noel,BKN,106,2303,83,220
Cason Wallace,OKC,105,2297,75,195
Bol Bol,PHX,165,2252,87,220
Jericho Sims,NYK,161,2249,82,250
Peyton Watson,DEN,125,2222,79,200
Lou Williams,ATL,122,2222,73,175
Tomas Satoransky,WAS,113,2213,79,210
Scoot Henderson,POR,79,2211,75,206
Kevin Knox II,DET,166,2199,79,215
Ben McLemore,POR,117,2190,75,195
Elfrid Payton,NOP,120,2177,75,195
Enes Freedom,BOS,107,2169,82,250
Jordan Goodwin,MEM,121,2167,76,200
Dwight Howard,LAL,129,2166,82,265
Willy Hernangomez,NOP,133,2143,83,250
Josh Christopher,HOU,138,2120,76,215
Markieff Morris,DAL,142,2088,81,245
Justise Winslow,POR,103,2058,78,222
Andre Iguodala,GSW,102,2054,78,215
Isaiah Livers,DET,94,2051,78,232
John Wall,LAC,74,2043,75,210
Amen Thompson,HOU,86,2034,79,200
JT Thor,CLE,168,2027,81,203
Jaden Hardy,DAL,143,2018,75,198
Serge Ibaka,MIL,111,2018,82,235
D.J. Augustin,LAL,112,2012,71,183
Avery Bradley,LAL,89,2008,74,180
DeAndre' Bembry,MIL,107,1998,77,210
Brandon Boston Jr.,NOP,127,1961,78,188
Juancho Hernangomez,TOR,134,1958,81,214
Saben Lee,PHX,134,1943,74,183
Day'Ron Sharpe,BKN,144,1908,81,265
Frank Jackson,UTA,94,1907,75,205
Anthony Gill,WAS,197,1903,80,230
Max Christie,LAL,131,1899,77,190
Romeo Langford,SAS,109,1898,77,216
Cody Zeller,NOP,133,1896,83,240
Gradey Dick,TOR,79,1885,78,200
Sterling Brown,LAL,104,1881,77,219
Kent Bazemore,LAL,106,1878,76,195
Dwayne Bacon,ORL,72,1853,78,221
Sam Merrill,CLE,123,1835,76,205
Wayne Ellington,LAL,89,1822,76,207
Tony Snell,NOP,100,1815,78,213
Jaylin Williams,OKC,118,1811,81,240
Moses Brown,IND,150,1804,86,258
Jake LaRavia,MEM,95,1804,79,235
Anthony Black,ORL,95,1787,79,200
Trent Forrest,ATL,151,1758,76,210
Blake Wesley,SAS,117,1757,75,185
Kira Lewis Jr.,UTA,131,1745,73,170
Nemanja Bjelica,GSW,108,1738,82,234
Timothe Luwawu-Cabarrot,ATL,110,1735,79,220
Dereck Lively II,DAL,74,1734,85,230
LaMarcus Aldridge,BKN,73,1725,83,250
Caleb Houstan,ORL,126,1716,80,205
Hassan Whiteside,UTA,101,1708,84,265
Wenyen Gabriel,MEM,120,1704,81,205
Dewayne Dedmon,PHI,121,1702,82,245
Jeremy Lamb,SAC,92,1701,77,180
Derrick Favors,OKC,107,1692,81,265
Sandro Mamukelashvili,SAS,147,1679,81,240
Bryce McGowens,POR,106,1671,78,190
Ausar Thompson,DET,68,1659,78,205
Frank Ntilikina,CHA,143,1657,76,200
Kessler Edwards,DAL,141,1656,79,203
Solomon Hill,ATL,84,1653,78,226
Rodney Hood,LAC,107,1652,80,208
Maurice Harkless,SAC,84,1635,79,220
Anthony Lamb,GSW,88,1618,78,227
Kris Murray,POR,83,1615,80,216
Lindy Waters III,GSW,123,1609,78,210
Bruno Fernando,TOR,162,1607,81,240
Edmond Sumner,BKN,106,1597,76,196
Vince Williams Jr.,MEM,70,1586,76,205
AJ Griffin,ATL,92,1572,78,220
Marcus Sasser,DET,87,1562,74,195
Keon Johnson,BKN,104,1547,77,185
PJ Dozier,MIN,91,1538,78,205
Paul Millsap,PHI,89,1538,79,257
Vit Krejci,ATL,92,1529,80,195
Keon Ellis,SAC,96,1521,76,175
Trayce Jackson-Davis,GSW,89,1503,81,245
Rodney McGruder,DET,99,1472,76,205
Armoni Brooks,BKN,84,1468,75,195
Rajon Rondo,CLE,84,1467,73,180
Jordan Hawkins,NOP,78,1463,77,190
Vasilije Micic,CHA,73,1459,77,202
Eric Paschall,UTA,98,1431,78,255
DeMarcus Cousins,DEN,89,1430,82,270
AJ Green,MIL,113,1414,76,190
Jonathan Isaac,ORL,90,1393,82,230
Thanasis Antetokounmpo,MIL,176,1386,79,219
Vlatko Cancar,DEN,120,1381,80,236
Brad Wanamaker,WAS,84,1373,76,210
CJ Elleby,POR,88,1367,78,200
Mark Williams,CHA,65,1366,85,240
Duane Washington Jr.,PHX,79,1362,74,197
Semi Ojeleye,LAC,86,1356,78,240
Nikola Jovic,MIA,75,1355,82,223
Trey Burke,DAL,104,1355,73,185
MarJon Beauchamp,MIL,111,1343,79,199
Ish Wainright,PHX,116,1336,77,250
Omer Yurtseven,UTA,113,1335,83,275
Trevor Ariza,LAL,54,1303,80,215
Duop Reath,POR,81,1297,81,245
David Nwaba,HOU,76,1288,77,219
Gorgui Dieng,SAS,113,1282,82,252
Tony Bradley,CHI,109,1266,82,248
Denzel Valentine,UTA,86,1258,76,220
Jalen Wilson,BKN,66,1240,78,220
Daishen Nix,MIN,99,1239,76,238
GG Jackson II,MEM,48,1233,81,210
Dalen Terry,CHI,122,1231,79,195
Usman Garuba,GSW,105,1227,80,229
Dante Exum,DAL,61,1204,77,214
Jared Butler,WAS,105,1182,75,193
Johnny Davis,WAS,95,1178,74,170
Terry Taylor,CHI,95,1165,76,230
Scotty Pippen Jr.,MEM,52,1142,73,170
Frank Kaminsky,HOU,92,1131,85,240
Brandon Goodwin,CLE,83,1121,73,180
Ousmane Dieng,OKC,88,1119,81,185
Skylar Mays,LAL,105,1111,75,205
Ben Sheppard,IND,70,1086,78,190
Joshua Primo,LAC,56,1069,76,189
Eugene Omoruyi,WAS,87,1057,78,235
