Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
Khris Middleton,MIL,224,6741,759,56,235,56,52,12,79,0.084344481,0.11048425011753643,0.039936102236421724
Cameron Johnson,BKN,249,6721,477,17,191,59,17,6,48,0.079359023,0.1734786557674841,0.011184211
Isaiah Stewart,DET,260,6652,462,0,210,52,0,0,45,0.10552763819095477,0.14179608372721134,0
Wendell Carter Jr.,ORL,241,6651,749,0,327,71,0,0,82,0.13069544364508393,0.1802646085997795,0
Rui Hachimura,LAL,249,6649,514,4,250,57,1,0,28,0.0942546,0.12866700977869275,0.001388889
Pat Connaughton,MIL,286,6640,205,3,64,14,13,4,29,0.04272063,0.1219047619047619,0.009569378
Devin Vassell,SAS,248,6635,472,23,201,59,25,6,22,0.075276012,0.11985688729874776,0.018292682926829267
Reggie Bullock Jr.,HOU,255,6633,141,54,22,5,4,1,18,0.015911873,0.058355437665782495,0.00318218
Caleb Martin,PHI,268,6607,427,0,189,43,6,1,37,0.094111969,0.14905362776025236,0.007462687
Max Strus,CLE,257,6605,263,9,73,20,27,6,30,0.042680324,0.10579710144927536,0.016333938294010888
Ja Morant,MEM,204,6602,1443,18,633,147,7,0,136,0.1511572980632971,0.19089264173703258,0.007625272
Eric Gordon,PHI,237,6580,508,28,199,48,21,3,38,0.089869281,0.17704626334519574,0.015861027190332326
Austin Reaves,LAL,226,6531,717,33,276,89,18,7,89,0.13387978142076504,0.22240128928283642,0.018848167539267015
Corey Kispert,WAS,250,6487,331,10,144,38,9,3,28,0.069894929,0.16234498308906425,0.006912442
LaMelo Ball,CHA,202,6484,739,51,281,69,10,3,88,0.077849117,0.13451412158927717,0.006064281
Kelly Olynyk,TOR,257,6476,680,8,263,75,14,1,89,0.12360553324408746,0.19524870081662954,0.015659955257270694
De'Andre Hunter,ATL,214,6450,715,9,305,71,16,3,61,0.11711054359722729,0.17319704713231118,0.016326531
Alperen Sengun,HOU,234,6449,992,1,426,118,2,0,122,0.1436241610738255,0.16033120060218292,0.00619195
Mason Plumlee,PHX,276,6416,794,0,375,83,0,0,66,0.22058823529411764,0.22255192878338279,0
Nic Claxton,BKN,244,6409,640,0,309,87,0,0,53,0.1609375,0.16220472440944883,0
