player_name,height_in,weight_lbs,school_conf,col_fg,col_fga,col_2p,col_2pa,col_3p,col_3pa,col_ft,col_fta,col_trb,col_ast,col_stl,col_blk,col_tov,col_pf,col_pts,col_fgp,col_2pp,col_3pp,col_ftp,col_tsp,col_efgp,col_ws/40,col_obpm,col_dbpm,col_bpm,col_per,col_orbp,col_drbp,col_trbp,col_astp,col_stlp,col_blkp,col_tovp,col_usgp
Bryn Forbes,74,205,Multiple,5.6,12.5,2.4,5.1,3.2,7.4,2.9,3.5,3.4,1.8,0.9,0.1,1.6,2.2,17.4,0.449,0.47,0.435,0.821,0.611,0.578,0.148,4.2,0.3,4.4,17.4,2.1,8.4,5.2,9.2,1.3,0.2,10.3,20.9
Gary Payton II,75,195,Big 10,6.6,13.6,5.7,10.7,0.9,2.9,2.6,4,8.7,4.7,3.2,1,2.4,3,16.7,0.485,0.535,0.302,0.652,0.538,0.518,0.193,5.7,5.4,11.1,25.5,7.4,18.2,12.8,27.5,4.9,3.2,13.4,23.8
Derrick Jones Jr.,78,210,MWC,8,13.6,7.5,11.1,0.5,2.4,4.9,8.2,8.3,1.5,1.7,2.5,2.2,5.8,21.4,0.589,0.672,0.205,0.594,0.611,0.607,0.193,1.9,2.4,4.3,24.2,8.6,13.4,11,8.1,2.3,6.2,11.3,23.2
T.J. McConnell,73,190,Multiple,5,10.2,3.7,6.9,1.2,3.3,1.6,2.1,4.9,6.8,2.9,0.2,2.5,2.3,12.8,0.49,0.542,0.38,0.749,0.573,0.551,0.182,3.6,5.1,8.7,20.3,2.5,12,7.2,31.9,4.3,0.6,18.5,17.4
Royce O'Neale,78,226,Multiple,4.1,8.5,2.6,4.9,1.4,3.6,3,4,7.5,3.9,1.6,0.4,2.5,3.2,12.5,0.477,0.533,0.399,0.751,0.602,0.561,0.166,3.8,2.6,6.4,18.9,6.5,18,12.2,20,2.6,1.3,19.7,18.1
Javonte Green,77,205,Big South,8.3,16,8,14.8,0.3,1.2,5.7,8.8,12.6,1.7,2.9,1.1,2.9,4.2,22.6,0.519,0.542,0.238,0.656,0.562,0.528,0.207,3.2,0.4,3.7,29.6,11.8,26,18.5,10.1,4.3,2.7,12.6,29
Juan Toscano-Anderson,78,209,Big East,3.7,8.7,3,6.3,0.7,2.4,1.9,3.2,8.6,2.6,2,0.7,2.8,4.4,10,0.421,0.473,0.289,0.593,0.486,0.462,0.084,-0.7,2.8,2,13.1,9.1,16.9,13,13,3,1.9,21.5,17.3
Christian Wood,80,214,MWC,6.4,13.4,5.4,9.7,1,3.8,4,5.4,11.6,1.4,0.6,3.2,2.6,3.6,17.8,0.477,0.561,0.261,0.747,0.557,0.513,0.175,2.6,2,4.6,23.4,9.6,21.7,16,8.1,0.9,7.8,13.9,24.7
Torrey Craig,77,221,Big South,7.4,17.8,4.4,9,2.9,8.9,3.3,4.9,9.3,2.3,1.4,1,3.4,3.2,21,0.413,0.495,0.33,0.671,0.52,0.495,0.133,3.1,-0.9,2.3,20.8,7.5,20.5,13.6,13.6,2,2.9,14.5,29.5
Khem Birch,80,233,Multiple,4.7,8.9,4.7,8.9,0,0,4.4,6.7,12.2,1.3,0.9,4.8,1.9,3.4,13.9,0.531,0.531,,0.668,0.576,0.531,0.198,3,4.9,8,24.7,13.5,20.1,16.8,6.2,1.4,11.6,13.4,17.6
Seth Curry,73,185,Multiple,6.3,14.5,3.3,6.9,3,7.6,3.8,4.6,3.7,2.7,1.6,0.2,2.1,2.3,19.3,0.431,0.472,0.394,0.827,0.578,0.534,0.164,5.9,2.8,8.6,19.8,2.3,6.9,5.3,13.3,2.4,0.5,11,23.8
Robert Covington,79,209,Ohio Valley,7,14.8,5,9.9,2.1,4.9,3.6,4.5,9.9,1.6,2,1.7,3.1,4,19.8,0.476,0.502,0.422,0.802,0.583,0.545,0.177,4.5,1,5.5,24.8,10.3,20.6,15.2,10.3,3,4.8,15.5,25.5
Rodney McGruder,76,205,Big 12,6.1,13.6,4.1,8.2,2,5.3,2.7,3.6,7.1,2,1.3,0.4,1.8,2.2,17,0.452,0.498,0.381,0.759,0.557,0.527,0.178,5.9,1.9,7.8,20,7.8,13.5,10.5,10.8,1.9,1.1,10.8,21.3
Dewayne Dedmon,82,245,Big 10,5.3,10.2,5.3,10,0,0.1,1.9,3,11.2,0.9,1.7,2.9,2.7,5.4,12.5,0.52,0.528,0,0.614,0.536,0.52,0.125,-0.2,4.1,3.9,19.4,12.1,23.6,17.5,4.9,2.6,7.9,18.8,19.5
JaMychal Green,81,227,SEC,7.4,14.2,7.3,14,0,0.2,5.1,7.2,10.9,1.8,1.5,2.5,3.7,4.7,19.8,0.519,0.524,0.176,0.711,0.564,0.52,0.203,4.6,4.3,8.9,26.6,12,18.9,15.7,10.6,2.3,6.5,17.5,27.4
Kent Bazemore,76,195,Sun Belt,5.6,12.6,4.5,9.3,1.1,3.2,3.1,5.3,7,4.1,2.7,0.7,3.5,3.3,15.4,0.447,0.486,0.334,0.581,0.51,0.49,0.161,3.7,4.2,7.9,21.2,5.6,14.8,10.1,22.3,4.4,2.1,18.7,23.8
Justin Holiday,78,180,Big 10,4.2,9.4,3.2,6.6,1,2.8,1.5,2.1,7.4,3.1,1.6,1,2.1,3.3,10.8,0.443,0.485,0.343,0.736,0.52,0.494,0.137,4.8,3.4,8.2,17.5,7.7,13.3,10.5,13,2.4,2.7,16.9,16.4
Brad Wanamaker,76,210,ACC,4.5,10.3,3.7,7.9,0.8,2.5,3.9,5.5,6.6,5.8,1.6,0.4,3.3,3.6,13.8,0.437,0.466,0.344,0.722,0.534,0.478,0.169,5.6,4.9,10.5,21.3,5.9,14,9.6,27.8,2.7,1,20.1,20.9
Ish Smith,73,175,ACC,5,11.8,4.3,9.4,0.7,2.4,1.4,3,4.9,6.7,1.7,0.3,3.8,2.5,12.2,0.425,0.456,0.301,0.484,0.455,0.203,0.071,,,,0.461,2.7,10.7,6.6,33.2,2.6,0.7,22.5,20.6
Wesley Matthews,77,220,Big East,5.3,12,4.3,9,1,3.1,5.7,7.2,6.6,2.8,1.6,0.4,2.9,3,17.4,0.444,0.48,0.341,0.799,0.488,0.254,0.164,,,,0.566,,,9.3,13.6,,0.9,15.7,22.5
Garrett Temple,77,195,SEC,2.6,7.1,1.6,3.5,1,3.7,1.8,2.3,4.5,4.4,1.7,1,2.6,3.2,8.1,0.371,0.47,0.278,0.783,0.443,0.515,0.098,,,,0.494,,,6.3,19,,1.8,24.3,13.5
David Nwaba,77,219,Big West,6.5,13.8,6.4,13.3,0.1,0.4,5.2,8,8.1,3.1,1.7,0.9,2.5,3,18.3,0.473,0.483,0.167,0.65,0.521,0.476,0.144,3.2,0.9,4.1,23.1,7.9,16.4,11.9,18.6,2.7,2.4,12.3,26.9
Terry Taylor,76,230,ASUN,8.9,16.5,7.5,12.4,1.4,4.1,3.8,5.3,11.4,1.6,1.2,1.2,2.5,2.4,22.9,0.536,0.601,0.341,0.725,0.603,0.578,0.222,6.4,-1.2,5.1,28.7,13.2,20.6,16.8,8.5,1.7,3.4,11.7,26.1
Scotty Pippen Jr.,73,170,SEC,6.6,15.9,4.6,10.1,2,5.8,7,9.2,3.9,5.4,2,0.2,4.1,3.4,22.2,0.414,0.454,0.343,0.763,0.547,0.476,0.151,4.1,1,5.2,21.5,2.7,8.9,5.7,31.9,2.9,0.6,16.8,31
